,Tweets,Time,Username
56,"Oh, and here is the group picture of Syrian families from Cairo Mini Maker Faire today.  @makerfaire pic.twitter.com/jeJ07lnxny",3/7/2015,dalepd
57,"At Cairo Mini Maker Faire today, Syrian refugee families visited as a group and took a photo.  Beautiful sight. @makerfaire",3/7/2015,dalepd
58,✓ @MakerFaire awards ✓ Become CEO✓ Teach at @MIT✓ @WhiteHouse   ✓ Funded on @Kickstarter http://bit.ly/1DPQbKW pic.twitter.com/TnXYA7N3NO,3/9/2015,MicrochipMakes
59,Submit Open Source Element Dress before May 12 for MAKERFAIRE 2015 at San Mateo May 16-17 http://bit.ly/1EiZWRa pic.twitter.com/LGV0TXxvEN,4/10/2015,wearableLED
60,"Makers, unite! The first National #MakerFaire comes to @udc_edu June 12-13, 2015.  → http://buff.ly/1Egnq9E pic.twitter.com/1IoHJqTD8V",4/10/2015,collabfund
61, @MakerFaire Bay Area You’re going. We’re going. Let’s do this! Stay tuned for more updates. #MakerFaire pic.twitter.com/g654oBtmOk,4/17/2015,littleBits
62,Just think: Only three more weekends to go before @MakerFaire Bay Area. pic.twitter.com/UAV9Pcc5Yk,4/19/2015,MicrochipMakes
63,We're looking forward to exhibiting at @makerfaire Bay Area again! We'll have a bunch of talks too! Get tix here: https://www.eventbrite.com/e/maker-faire-bay-area-2015-tickets-5938495199 …,4/22/2015,Raspberry_Pi
64,Looking forward to meeting coders and innovators at the #makerfaire in #newcastle this weekend! Who else is going?pic.twitter.com/wz5YwCLpkI,4/22/2015,FlowDigitalLtd
65,@adafruit I used 12 of your OLED displays in my Digital Zoetrope. Showing it off @makerfaire_uk #RaspberryPi insidepic.twitter.com/V07YLWI9ls,4/23/2015,CannonFodder
66,"Inventors, entrepreneurs, tinkerers, innovators of all ages: Find your #NationOfMakers on facebook → https://www.facebook.com/NationalMakerFaire … #MakerFaire",4/23/2015,natlmakerfaire
67,"This is by far one of our favorite makes weve seen at any #makerfaire. The @InMoov #3dprinted #robot.https://twitter.com/InMoov/status/514401980698361856 …Makerspaces.com added,",4/23/2015,Makerspaces_com
68,New Post: The Maker Movement is Sweeping the Nation  http://worlds-of-learning.com/2015/04/23/the-maker-movement-is-sweeping-the-nation/ … @whitehouse @smsantoso @makerfaire #worldsofmaking #tlchat,4/23/2015,LFlemingEDU
69,Our team will be @makerfaire Bay Area May 16+17! Come say hello + share ideas on how we can strengthen our #NationOfMakers,4/23/2015,natlmakerfaire
70,Testing out our giant locks for new #cybersecurity exhibit opening soon @TheTechMuseum. @toool @makerfaire pic.twitter.com/Mhty2Rrmdn,4/23/2015,LathCarlson
71,"Progress on my @Raspberry_Pi powered Zoetrope, almost ready for @makerfaire_uk most screens for a Pi @ 12 + 1?pic.twitter.com/VqgrnmWnLz",4/23/2015,CannonFodder
72,Looking forward to seeing @makerfaire_uk this weekend! Learning new things and chilling with the @Raspberry_Pi creative technologists crew!,4/23/2015,HRBurdett
73,Presenting Mechanical Techno at @makerfaire_uk alter - 10:30am demonstration // 2:30pm performance. Thanks @If_Wet !pic.twitter.com/GHlmjE6iwh,4/24/2015,grahamdunning
74,This is where I'll be demonstrating Mechanical Techno and performing live tomorrow for @If_Wet at @makerfaire_ukpic.twitter.com/qxFNJjkuRh,4/24/2015,grahamdunning
75,"One of the most fun @makerfaire_uk badges yet, thanks to @oomlout.pic.twitter.com/nJ9XOSCNFt",4/24/2015,jprodgers
