,Tweets,Time,Username
94,A revolution in the making! [INFOGRAPHIC] #AtmelMakes #MakerFaire pic.twitter.com/HFh64xtxtE,5/16/2014,MicrochipMakes
95,"El Pulpo Mecanico aka The Mechanical Octopus (yes, I took Spanish in 7th grade) @makerfaire pic.twitter.com/TlPurrKmBS",5/16/2014,BobNBC
96,Made this today at #MakerFaire from old fabric scraps that were going to be thrown away! #AdventureTimepic.twitter.com/NkPF6vF69F,5/17/2014,MakerSylvia
97,"Bay Area #makerfaire 2014 DroneCam, @sketchup @wikihouse from above.http://youtu.be/OiX25g4CGLg ",5/17/2014,jbacus
98,And that's a wrap folks. Thanks for an amazing day of making. See you tomorrow. #MakerFaire #yotm,5/17/2014,makerfaire
99,Teaching the next gen at#MakerFaire pic.twitter.com/3MxUrjiiRV,5/17/2014,java
100,Awesome day @makerfaire can't wait to meet you all again tomorrow#dontbeboredmakesomethingpic.twitter.com/jHeRoivDM1,5/17/2014,Joey_Hudy
101,Flaming octapus art car at #makerfaire pic.twitter.com/6o9XYikg1u,5/17/2014,dangerousproto
102,"Design your own action figs w/ Modio, then 3D print 'em #MakerFaire http://youtu.be/2xsQftQEGdY ",5/17/2014,make
103,We've got the original @Pebble prototype on display here at @makerfaire :) pic.twitter.com/2tCaLu85Z3,5/17/2014,tnkgrl
104,This is what you need to do after a few hours at #MakerFaire #overwhelmingpic.twitter.com/PS0jHNTaQZ,5/17/2014,pahlkadot
105,#Arduino gets bigger—and smaller—at #MakerFaire http://bit.ly/1n5A0kY  #AtHeart,5/17/2014,arduino
106,Trying on our astronaut suit has been a big hit today! #MakerFaire pic.twitter.com/3hcJy9HKnw,5/17/2014,NASAPrize
107,Arduino-controlled Juggling balls change color depending on how you juggle #MakerFaire http://youtu.be/IMQMb8d_NK8 ,5/17/2014,make
108,"""Anybody can build a robot! The hard part is the programming!"" #MakerFaire @NASAPrizepic.twitter.com/DQzIwxQwKs",5/17/2014,SpacePRIDE
109,Also love @gluemotor: plug and play servo motor for smartphones. Looks like fun for kids #MakerFaire,5/17/2014,timoreilly
